date,open,high,low,close
2021-09-24,7799.92,7806.81,7685.11,7695.62
2021-09-27,7717.10,7733.21,7399.81,7467.82
2021-09-28,7428.41,7496.33,7409.37,7468.73
2021-09-29,7409.96,7413.80,7199.11,7199.18
2021-09-30,7237.54,7411.28,7237.54,7405.46
2021-10-08,7501.24,7514.24,7382.02,7425.67
2021-10-11,7441.62,7442.35,7346.86,7384.84
2021-10-12,7366.16,7376.73,7125.54,7208.47
2021-10-13,7213.01,7297.30,7147.01,7289.36
2021-10-14,7276.51,7362.46,7256.98,7342.25
2021-10-15,7321.58,7374.34,7288.28,7350.41
2021-10-18,7344.57,7429.63,7322.70,7429.63
2021-10-19,7420.48,7506.09,7408.12,7504.05
2021-10-20,7467.34,7560.85,7456.81,7523.56
2021-10-21,7520.93,7548.82,7481.44,7503.53
2021-10-22,7506.87,7530.58,7436.14,7438.48
2021-10-25,7438.43,7532.37,7417.20,7532.37
2021-10-26,7547.75,7583.13,7492.39,7508.69
2021-10-27,7490.69,7501.54,7408.58,7433.55
2021-10-28,7395.49,7422.10,7253.11,7267.85
2021-10-29,7276.51,7385.41,7234.50,7385.30
2021-11-01,7374.45,7488.48,7357.67,7455.61
2021-11-02,7462.13,7501.96,7301.65,7368.60
2021-11-03,7362.12,7391.05,7312.25,7385.20
2021-11-04,7402.66,7483.69,7402.66,7483.69
2021-11-05,7476.14,7488.12,7388.20,7389.59
2021-11-08,7376.71,7423.01,7351.50,7422.91
2021-11-09,7443.45,7532.25,7435.51,7531.96
2021-11-10,7516.00,7535.24,7425.23,7535.23
2021-11-11,7524.16,7601.20,7515.71,7593.73
2021-11-12,7593.45,7705.05,7593.45,7697.81
2021-11-15,7713.85,7727.02,7653.71,7676.48
2021-11-16,7659.02,7691.65,7579.68,7589.18
2021-11-17,7603.33,7725.09,7603.33,7725.09
2021-11-18,7724.03,7765.74,7686.14,7714.80
2021-11-19,7709.31,7806.03,7705.84,7803.76
2021-11-22,7822.96,7948.02,7822.96,7947.37
2021-11-23,7950.25,7974.51,7933.20,7941.56
2021-11-24,7939.59,7971.44,7917.68,7938.77
2021-11-25,7937.40,7959.84,7919.66,7925.76
2021-11-26,7912.89,7954.79,7906.35,7940.79
2021-11-29,7837.39,7999.94,7828.92,7999.83
2021-11-30,8037.26,8082.90,7991.19,8054.29
2021-12-01,8050.89,8068.38,8000.81,8055.82
2021-12-02,8045.73,8046.25,7964.74,7968.24
2021-12-03,7973.62,8034.69,7952.37,8023.96
2021-12-06,8018.46,8029.83,7899.91,7906.76
2021-12-07,7937.23,7948.17,7713.92,7781.44
2021-12-08,7806.38,7922.55,7803.44,7922.55
2021-12-09,7924.53,7948.03,7903.68,7931.76
2021-12-10,7898.64,7964.35,7886.13,7949.12
2021-12-13,7963.48,8000.11,7936.62,7984.90
2021-12-14,7969.60,7997.18,7952.75,7981.83
2021-12-15,7982.10,8019.30,7942.94,7955.58
2021-12-16,7966.50,8005.98,7959.18,8005.98
2021-12-17,7997.47,7997.47,7894.10,7894.10
2021-12-20,7873.67,7920.65,7747.36,7751.95
2021-12-21,7749.82,7849.03,7749.82,7849.03
2021-12-22,7868.30,7943.24,7854.36,7930.81
2021-12-23,7932.10,7947.13,7892.89,7932.66
2021-12-24,7940.38,7940.43,7771.42,7776.61
2021-12-27,7768.38,7833.58,7739.29,7776.43
2021-12-28,7794.03,7863.53,7783.10,7863.53
2021-12-29,7858.94,7886.71,7838.28,7855.43
2021-12-30,7863.17,7949.96,7861.54,7924.53
2021-12-31,7946.94,8016.40,7946.94,8010.32
2022-01-04,8045.10,8060.99,7948.91,7983.07
2022-01-05,7968.74,7968.92,7733.51,7781.68
2022-01-06,7743.86,7863.55,7721.78,7844.52
2022-01-07,7841.13,7867.49,7681.13,7682.70
2022-01-10,7669.05,7756.97,7624.93,7734.19
2022-01-11,7734.54,7768.74,7632.07,7646.69
2022-01-12,7691.85,7779.52,7682.55,7779.52
2022-01-13,7781.31,7781.31,7644.79,7644.79
2022-01-14,7611.29,7714.50,7590.19,7675.37
2022-01-17,7687.71,7815.66,7683.38,7808.09
2022-01-18,7808.99,7827.19,7743.72,7758.60
2022-01-19,7728.16,7745.81,7617.06,7665.18
2022-01-20,7664.12,7672.76,7488.86,7492.61
2022-01-21,7474.76,7493.02,7384.40,7388.74
2022-01-24,7346.39,7462.53,7333.00,7425.40
2022-01-25,7398.76,7440.55,7133.07,7133.07
2022-01-26,7158.57,7226.64,7071.47,7171.03
2022-01-27,7178.54,7191.48,6959.46,6960.11
2022-01-28,6996.77,7071.32,6861.47,6973.01
2022-02-07,7080.61,7102.42,7037.16,7061.62
2022-02-08,7058.25,7080.62,6928.90,7080.62
2022-02-09,7083.43,7212.75,7056.62,7211.43
2022-02-10,7208.57,7222.19,7126.07,7175.62
2022-02-11,7140.93,7151.24,7024.79,7033.85
